Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON,5-Year Moving Avg,Month,Monthly_Temp_anomaly,Seasonal_Temp_anomaly,Season_Spring,Season_Summer,Season_Winter,Lag_1,Lag_2,Lag_3,Rolling_3,Rolling_6,Month_sin,Month_cos
2022,0.91,0.89,1.04,0.83,0.84,0.92,0.94,0.95,0.89,0.97,0.73,0.8,0.0930232558139534,0.1333333333333335,0.2333333333333331,0.2083333333333332,0.3404255319148934,0.0350877192982455,0.916,6,0.92,0.94,False,True,False,0.0930232558139534,0.0930232558139534,0.0930232558139534,0.0930232558139534,0.0930232558139534,1.2246467991473532e-16,-1.0
2022,0.91,0.89,1.04,0.83,0.84,0.92,0.94,0.95,0.89,0.97,0.73,0.8,0.0930232558139534,0.1333333333333335,0.2333333333333331,0.2083333333333332,0.3404255319148934,0.0350877192982455,0.916,6,0.92,0.86,False,False,False,0.0930232558139534,0.0930232558139534,0.0930232558139534,0.0930232558139534,0.0930232558139534,1.2246467991473532e-16,-1.0
2022,0.91,0.89,1.04,0.83,0.84,0.92,0.94,0.95,0.89,0.97,0.73,0.8,0.0930232558139534,0.1333333333333335,0.2333333333333331,0.2083333333333332,0.3404255319148934,0.0350877192982455,0.916,7,0.94,0.89,False,False,True,0.0930232558139534,0.0930232558139534,0.0930232558139534,0.0930232558139534,0.0930232558139534,-0.4999999999999997,-0.8660254037844388
2022,0.91,0.89,1.04,0.83,0.84,0.92,0.94,0.95,0.89,0.97,0.73,0.8,0.0930232558139534,0.1333333333333335,0.2333333333333331,0.2083333333333332,0.3404255319148934,0.0350877192982455,0.916,7,0.94,0.91,True,False,False,0.0930232558139534,0.0930232558139534,0.0930232558139534,0.0930232558139534,0.0930232558139534,-0.4999999999999997,-0.8660254037844388
2022,0.91,0.89,1.04,0.83,0.84,0.92,0.94,0.95,0.89,0.97,0.73,0.8,0.0930232558139534,0.1333333333333335,0.2333333333333331,0.2083333333333332,0.3404255319148934,0.0350877192982455,0.916,7,0.94,0.94,False,True,False,0.0930232558139534,0.0930232558139534,0.0930232558139534,0.0930232558139534,0.0930232558139534,-0.4999999999999997,-0.8660254037844388
2022,0.91,0.89,1.04,0.83,0.84,0.92,0.94,0.95,0.89,0.97,0.73,0.8,0.0930232558139534,0.1333333333333335,0.2333333333333331,0.2083333333333332,0.3404255319148934,0.0350877192982455,0.916,7,0.94,0.86,False,False,False,0.0930232558139534,0.0930232558139534,0.0930232558139534,0.0930232558139534,0.0930232558139534,-0.4999999999999997,-0.8660254037844388
2022,0.91,0.89,1.04,0.83,0.84,0.92,0.94,0.95,0.89,0.97,0.73,0.8,0.0930232558139534,0.1333333333333335,0.2333333333333331,0.2083333333333332,0.3404255319148934,0.0350877192982455,0.916,8,0.95,0.89,False,False,True,0.0930232558139534,0.0930232558139534,0.0930232558139534,0.0930232558139534,0.0930232558139534,-0.8660254037844384,-0.5000000000000004
2022,0.91,0.89,1.04,0.83,0.84,0.92,0.94,0.95,0.89,0.97,0.73,0.8,0.0930232558139534,0.1333333333333335,0.2333333333333331,0.2083333333333332,0.3404255319148934,0.0350877192982455,0.916,8,0.95,0.91,True,False,False,0.0930232558139534,0.0930232558139534,0.0930232558139534,0.0930232558139534,0.0930232558139534,-0.8660254037844384,-0.5000000000000004
2022,0.91,0.89,1.04,0.83,0.84,0.92,0.94,0.95,0.89,0.97,0.73,0.8,0.0930232558139534,0.1333333333333335,0.2333333333333331,0.2083333333333332,0.3404255319148934,0.0350877192982455,0.916,8,0.95,0.94,False,True,False,0.0930232558139534,0.0930232558139534,0.0930232558139534,0.0930232558139534,0.0930232558139534,-0.8660254037844384,-0.5000000000000004
2022,0.91,0.89,1.04,0.83,0.84,0.92,0.94,0.95,0.89,0.97,0.73,0.8,0.0930232558139534,0.1333333333333335,0.2333333333333331,0.2083333333333332,0.3404255319148934,0.0350877192982455,0.916,8,0.95,0.86,False,False,False,0.0930232558139534,0.0930232558139534,0.0930232558139534,0.0930232558139534,0.0930232558139534,-0.8660254037844384,-0.5000000000000004
2022,0.91,0.89,1.04,0.83,0.84,0.92,0.94,0.95,0.89,0.97,0.73,0.8,0.0930232558139534,0.1333333333333335,0.2333333333333331,0.2083333333333332,0.3404255319148934,0.0350877192982455,0.916,9,0.89,0.89,False,False,True,0.0930232558139534,0.0930232558139534,0.0930232558139534,0.0930232558139534,0.0930232558139534,-1.0,-1.8369701987210297e-16
2022,0.91,0.89,1.04,0.83,0.84,0.92,0.94,0.95,0.89,0.97,0.73,0.8,0.0930232558139534,0.1333333333333335,0.2333333333333331,0.2083333333333332,0.3404255319148934,0.0350877192982455,0.916,9,0.89,0.91,True,False,False,0.0930232558139534,0.0930232558139534,0.0930232558139534,0.0930232558139534,0.0930232558139534,-1.0,-1.8369701987210297e-16
2022,0.91,0.89,1.04,0.83,0.84,0.92,0.94,0.95,0.89,0.97,0.73,0.8,0.0930232558139534,0.1333333333333335,0.2333333333333331,0.2083333333333332,0.3404255319148934,0.0350877192982455,0.916,9,0.89,0.94,False,True,False,0.0930232558139534,0.0930232558139534,0.0930232558139534,0.0930232558139534,0.0930232558139534,-1.0,-1.8369701987210297e-16
2022,0.91,0.89,1.04,0.83,0.84,0.92,0.94,0.95,0.89,0.97,0.73,0.8,0.0930232558139534,0.1333333333333335,0.2333333333333331,0.2083333333333332,0.3404255319148934,0.0350877192982455,0.916,9,0.89,0.86,False,False,False,0.0930232558139534,0.0930232558139534,0.0930232558139534,0.0930232558139534,0.0930232558139534,-1.0,-1.8369701987210297e-16
2022,0.91,0.89,1.04,0.83,0.84,0.92,0.94,0.95,0.89,0.97,0.73,0.8,0.0930232558139534,0.1333333333333335,0.2333333333333331,0.2083333333333332,0.3404255319148934,0.0350877192982455,0.916,10,0.97,0.89,False,False,True,0.0930232558139534,0.0930232558139534,0.0930232558139534,0.0930232558139534,0.0930232558139534,-0.8660254037844386,0.5000000000000001
2022,0.91,0.89,1.04,0.83,0.84,0.92,0.94,0.95,0.89,0.97,0.73,0.8,0.0930232558139534,0.1333333333333335,0.2333333333333331,0.2083333333333332,0.3404255319148934,0.0350877192982455,0.916,10,0.97,0.91,True,False,False,0.0930232558139534,0.0930232558139534,0.0930232558139534,0.0930232558139534,0.0930232558139534,-0.8660254037844386,0.5000000000000001
2022,0.91,0.89,1.04,0.83,0.84,0.92,0.94,0.95,0.89,0.97,0.73,0.8,0.0930232558139534,0.1333333333333335,0.2333333333333331,0.2083333333333332,0.3404255319148934,0.0350877192982455,0.916,10,0.97,0.94,False,True,False,0.0930232558139534,0.0930232558139534,0.0930232558139534,0.0930232558139534,0.0930232558139534,-0.8660254037844386,0.5000000000000001
2022,0.91,0.89,1.04,0.83,0.84,0.92,0.94,0.95,0.89,0.97,0.73,0.8,0.0930232558139534,0.1333333333333335,0.2333333333333331,0.2083333333333332,0.3404255319148934,0.0350877192982455,0.916,10,0.97,0.86,False,False,False,0.0930232558139534,0.0930232558139534,0.0930232558139534,0.0930232558139534,0.0930232558139534,-0.8660254037844386,0.5000000000000001
2022,0.91,0.89,1.04,0.83,0.84,0.92,0.94,0.95,0.89,0.97,0.73,0.8,0.0930232558139534,0.1333333333333335,0.2333333333333331,0.2083333333333332,0.3404255319148934,0.0350877192982455,0.916,11,0.73,0.89,False,False,True,0.0930232558139534,0.0930232558139534,0.0930232558139534,0.0930232558139534,0.0930232558139534,-0.5000000000000004,0.8660254037844384
2022,0.91,0.89,1.04,0.83,0.84,0.92,0.94,0.95,0.89,0.97,0.73,0.8,0.0930232558139534,0.1333333333333335,0.2333333333333331,0.2083333333333332,0.3404255319148934,0.0350877192982455,0.916,11,0.73,0.91,True,False,False,0.0930232558139534,0.0930232558139534,0.0930232558139534,0.0930232558139534,0.0930232558139534,-0.5000000000000004,0.8660254037844384
2022,0.91,0.89,1.04,0.83,0.84,0.92,0.94,0.95,0.89,0.97,0.73,0.8,0.0930232558139534,0.1333333333333335,0.2333333333333331,0.2083333333333332,0.3404255319148934,0.0350877192982455,0.916,11,0.73,0.94,False,True,False,0.0930232558139534,0.0930232558139534,0.0930232558139534,0.0930232558139534,0.0930232558139534,-0.5000000000000004,0.8660254037844384
2022,0.91,0.89,1.04,0.83,0.84,0.92,0.94,0.95,0.89,0.97,0.73,0.8,0.0930232558139534,0.1333333333333335,0.2333333333333331,0.2083333333333332,0.3404255319148934,0.0350877192982455,0.916,11,0.73,0.86,False,False,False,0.0930232558139534,0.0930232558139534,0.0930232558139534,0.0930232558139534,0.0930232558139534,-0.5000000000000004,0.8660254037844384
2022,0.91,0.89,1.04,0.83,0.84,0.92,0.94,0.95,0.89,0.97,0.73,0.8,0.0930232558139534,0.1333333333333335,0.2333333333333331,0.2083333333333332,0.3404255319148934,0.0350877192982455,0.916,12,0.8,0.89,False,False,True,0.0930232558139534,0.0930232558139534,0.0930232558139534,0.0930232558139534,0.0930232558139534,-2.4492935982947064e-16,1.0
2022,0.91,0.89,1.04,0.83,0.84,0.92,0.94,0.95,0.89,0.97,0.73,0.8,0.0930232558139534,0.1333333333333335,0.2333333333333331,0.2083333333333332,0.3404255319148934,0.0350877192982455,0.916,12,0.8,0.91,True,False,False,0.0930232558139534,0.0930232558139534,0.0930232558139534,0.0930232558139534,0.0930232558139534,-2.4492935982947064e-16,1.0
2022,0.91,0.89,1.04,0.83,0.84,0.92,0.94,0.95,0.89,0.97,0.73,0.8,0.0930232558139534,0.1333333333333335,0.2333333333333331,0.2083333333333332,0.3404255319148934,0.0350877192982455,0.916,12,0.8,0.94,False,True,False,0.0930232558139534,0.0930232558139534,0.0930232558139534,0.0930232558139534,0.0930232558139534,-2.4492935982947064e-16,1.0
2022,0.91,0.89,1.04,0.83,0.84,0.92,0.94,0.95,0.89,0.97,0.73,0.8,0.0930232558139534,0.1333333333333335,0.2333333333333331,0.2083333333333332,0.3404255319148934,0.0350877192982455,0.916,12,0.8,0.86,False,False,False,0.0930232558139534,0.0930232558139534,0.0930232558139534,0.0930232558139534,0.0930232558139534,-2.4492935982947064e-16,1.0
2023,0.88,0.97,1.23,0.99,0.94,1.08,1.19,1.19,1.48,1.34,1.42,1.35,0.7441860465116277,0.6444444444444444,0.2166666666666665,0.5000000000000002,0.808510638297872,1.0,0.98,1,0.88,0.88,False,False,True,0.0930232558139534,0.0930232558139534,0.0930232558139534,0.3100775193798448,0.2015503875968991,0.49999999999999994,0.8660254037844387
2023,0.88,0.97,1.23,0.99,0.94,1.08,1.19,1.19,1.48,1.34,1.42,1.35,0.7441860465116277,0.6444444444444444,0.2166666666666665,0.5000000000000002,0.808510638297872,1.0,0.98,1,0.88,1.05,True,False,False,0.7441860465116277,0.0930232558139534,0.0930232558139534,0.5271317829457361,0.3100775193798448,0.49999999999999994,0.8660254037844387
2023,0.88,0.97,1.23,0.99,0.94,1.08,1.19,1.19,1.48,1.34,1.42,1.35,0.7441860465116277,0.6444444444444444,0.2166666666666665,0.5000000000000002,0.808510638297872,1.0,0.98,1,0.88,1.16,False,True,False,0.7441860465116277,0.7441860465116277,0.0930232558139534,0.7441860465116277,0.41860465116279055,0.49999999999999994,0.8660254037844387
2023,0.88,0.97,1.23,0.99,0.94,1.08,1.19,1.19,1.48,1.34,1.42,1.35,0.7441860465116277,0.6444444444444444,0.2166666666666665,0.5000000000000002,0.808510638297872,1.0,0.98,1,0.88,1.41,False,False,False,0.7441860465116277,0.7441860465116277,0.7441860465116277,0.7441860465116277,0.5271317829457363,0.49999999999999994,0.8660254037844387
2023,0.88,0.97,1.23,0.99,0.94,1.08,1.19,1.19,1.48,1.34,1.42,1.35,0.7441860465116277,0.6444444444444444,0.2166666666666665,0.5000000000000002,0.808510638297872,1.0,0.98,2,0.97,0.88,False,False,True,0.7441860465116277,0.7441860465116277,0.7441860465116277,0.7441860465116277,0.635658914728682,0.8660254037844386,0.5000000000000001
2023,0.88,0.97,1.23,0.99,0.94,1.08,1.19,1.19,1.48,1.34,1.42,1.35,0.7441860465116277,0.6444444444444444,0.2166666666666665,0.5000000000000002,0.808510638297872,1.0,0.98,2,0.97,1.05,True,False,False,0.7441860465116277,0.7441860465116277,0.7441860465116277,0.7441860465116277,0.7441860465116277,0.8660254037844386,0.5000000000000001
2023,0.88,0.97,1.23,0.99,0.94,1.08,1.19,1.19,1.48,1.34,1.42,1.35,0.7441860465116277,0.6444444444444444,0.2166666666666665,0.5000000000000002,0.808510638297872,1.0,0.98,2,0.97,1.16,False,True,False,0.7441860465116277,0.7441860465116277,0.7441860465116277,0.7441860465116277,0.7441860465116277,0.8660254037844386,0.5000000000000001
2023,0.88,0.97,1.23,0.99,0.94,1.08,1.19,1.19,1.48,1.34,1.42,1.35,0.7441860465116277,0.6444444444444444,0.2166666666666665,0.5000000000000002,0.808510638297872,1.0,0.98,2,0.97,1.41,False,False,False,0.7441860465116277,0.7441860465116277,0.7441860465116277,0.7441860465116277,0.7441860465116277,0.8660254037844386,0.5000000000000001
2023,0.88,0.97,1.23,0.99,0.94,1.08,1.19,1.19,1.48,1.34,1.42,1.35,0.7441860465116277,0.6444444444444444,0.2166666666666665,0.5000000000000002,0.808510638297872,1.0,0.98,3,1.23,0.88,False,False,True,0.7441860465116277,0.7441860465116277,0.7441860465116277,0.7441860465116277,0.7441860465116277,1.0,6.123233995736766e-17
2023,0.88,0.97,1.23,0.99,0.94,1.08,1.19,1.19,1.48,1.34,1.42,1.35,0.7441860465116277,0.6444444444444444,0.2166666666666665,0.5000000000000002,0.808510638297872,1.0,0.98,3,1.23,1.05,True,False,False,0.7441860465116277,0.7441860465116277,0.7441860465116277,0.7441860465116277,0.7441860465116277,1.0,6.123233995736766e-17
